timestamp,action,play_type,ticker,call_or_put,strike,expiration,cost_or_credit,delta_at_entry,outcome,pct_gain_loss,closed_at
2026-07-29T11:40:00-05:00,SELL open,SPREAD,F,put,SELL 14.5 / BUY 14,2026-08-07,0.06 credit,-0.19,OPEN,,
2026-07-29T11:40:00-05:00,SELL open,SPREAD,F,call,SELL 16 / BUY 16.5,2026-08-07,0.10 credit,0.34,OPEN,,
2026-07-29T11:40:00-05:00,BUY open,REGULAR,F,put,15.5,2026-07-31,0.33,-0.52,LOSS,-24.2,2026-07-29T13:16:17.164717-05:00
2026-07-29T11:40:00-05:00,BUY open,REGULAR,F,put,15.5,2026-08-07,0.49,-0.50,OPEN,,
2026-07-29T11:40:00-05:00,BUY open,REGULAR,F,call,15.5,2026-07-31,0.29,0.48,WIN,41.4,2026-07-29T13:50:41.737411-05:00
2026-07-29T11:40:00-05:00,BUY open,REGULAR,F,call,15.5,2026-08-07,0.47,0.50,OPEN,,
2026-07-29T11:40:00-05:00,BUY open,SWING,F,call,15,2026-08-21,0.84,0.65,OPEN,,
2026-07-29T11:40:00-05:00,BUY open,SWING,F,put,15,2026-08-21,0.47,-0.37,LOSS,-26.6,2026-07-29T13:50:41.737460-05:00
2026-07-29T11:40:00-05:00,BUY open,SWING,F,call,15,2026-09-04,0.97,0.64,OPEN,,
2026-07-29T11:40:00-05:00,BUY open,SWING,F,put,15,2026-09-04,0.59,-0.37,OPEN,,
2026-07-29T13:16:17.164881-05:00,SELL open,SPREAD,F,call,SELL 16 / BUY 16.5,2026-07-31,0.07 credit,0.246,OPEN,,
2026-07-29T13:16:17.164899-05:00,SELL open,SPREAD,F,call,SELL 16.5 / BUY 17,2026-07-31,0.01 credit,0.107,LOSS,-300.0,2026-07-29T13:50:41.737506-05:00
2026-07-29T13:16:17.164911-05:00,SELL open,SPREAD,F,put,SELL 15 / BUY 14.5,2026-07-31,0.04 credit,0.265,OPEN,,
2026-07-29T13:16:17.164965-05:00,BUY open,SWING,F,call,15,2026-08-14,0.85,0.624,OPEN,,
2026-07-29T13:16:17.164975-05:00,BUY open,SWING,F,call,15.5,2026-08-14,0.57,0.477,OPEN,,
2026-07-29T13:16:17.164983-05:00,BUY open,SWING,F,put,15,2026-08-14,0.37,0.376,LOSS,-23.0,2026-07-29T13:55:50.000982-05:00
2026-07-29T13:50:41.737617-05:00,BUY open,REGULAR,F,put,15.5,2026-07-31,0.18,0.523,OPEN,,
2026-07-29T13:55:50.001092-05:00,SELL open,SPREAD,F,call,SELL 16.5 / BUY 17,2026-07-31,0.02 credit,0.107,OPEN,,
2026-07-29T13:55:50.001131-05:00,BUY open,REGULAR,F,call,15.5,2026-07-31,0.4,0.477,OPEN,,
